Site_ID,geeSEBAL,PT-JPL,SSEBop,SIMS,eeMETRIC,DisALEXI,Ensemble,DATE
US-Blk,16.2,12.1,20.7,,9.2,12.5,14.2,2/1/2004
US-Blk,6.2,3.7,35.7,,10.9,13.1,8.5,12/1/2004
US-Blk,10,6.2,19,,4.9,15.8,11.2,1/1/2005
US-Blk,11.8,15.1,26.8,,9.5,26.4,17.9,2/1/2005
US-Blk,40,29.5,41.5,,22,55.2,37.7,3/1/2005
US-Blk,57,55.8,51.2,,28.7,86.5,48.2,4/1/2005
US-Blk,18.3,26.5,43.5,,28.2,20.6,27.4,11/1/2005
US-Blk,4.4,11.5,43.7,,10.1,17.9,11,1/1/2006
US-Blk,13,9,44.3,,12.9,35.6,17.6,2/1/2006
US-Blk,67.3,58.8,55.5,,35.7,79.2,59.3,4/1/2006
US-Blk,121.1,117.7,175.5,,132.8,109.8,120.3,7/1/2006
US-Blk,75.9,93.5,124,,61,70.8,75.3,8/1/2006
US-Blk,51,49.2,69.2,,48.9,62,52.8,9/1/2006
US-Blk,15.1,35.9,33.6,,8.4,28.3,24.2,10/1/2006
US-Blk,4,17.3,34.4,,10.2,17.3,16.6,11/1/2006
US-Blk,3.1,8.2,25.9,,3.8,7.8,5.7,12/1/2006
US-Blk,24.6,41,53.3,,20.1,48.9,37.6,3/1/2007
US-Blk,86.7,86.6,84.1,,48.3,52.8,77.5,9/1/2007
US-Blk,43,51.6,57.3,,37.6,37.8,45.5,10/1/2007
US-Blk,13,8.1,49.9,,55.3,31.6,31.6,11/1/2007
US-Blk,1.7,1.4,8.5,,11.3,4.6,5.5,12/1/2007
US-Blk,52,26.2,29,,23.5,55.8,32.7,3/1/2008
US-Blo,65.6,77.3,68.7,,59.5,84.9,71.2,3/1/2004
US-Blo,152.7,125.2,119.6,,107.3,130.9,120.8,6/1/2004
US-Blo,143.9,126.5,156.9,,117.7,136.1,136.2,7/1/2004
US-Blo,106.9,109.7,145.5,,99.8,104.2,105.1,8/1/2004
US-Blo,90.6,91.9,109.5,,63.7,68,84.7,9/1/2004
US-Blo,24.1,21.4,27.2,,16.9,47.3,22.4,2/1/2005
US-Blo,143.9,131.6,177.3,,150.8,135.2,140.4,8/1/2005
US-Blo,147.3,137.9,111.2,,146.4,150.2,145.5,5/1/2006
US-Blo,147.4,120.5,155.8,,147.1,159.3,152.4,6/1/2006
US-Blo,186.1,154.4,203.3,,173.9,153.7,174.3,7/1/2006
US-Blo,145.7,133,169.3,,143.1,140.6,140.6,8/1/2006
US-Blo,99.3,99.4,137.6,,93.2,97.4,97.3,9/1/2006
US-Blo,61.4,80.5,72.8,,74.9,63.7,70.6,10/1/2006
US-Blo,102.1,77.8,91.5,,99.5,114.3,97,3/1/2007
US-Blo,137.2,112.9,95.1,,130.2,131.8,128,4/1/2007
US-Blo,187.7,145.9,128.7,,138.5,163.1,152.8,5/1/2007
US-Blo,95.7,102.5,93.8,,98.4,94.6,95.6,9/1/2007
US-CZ3,159.3,142.3,167.3,,175.5,170.3,168.1,7/1/2009
US-CZ3,119,129,145,,111.2,150.9,131,8/1/2009
US-CZ3,114.5,106.3,119.8,,122.2,122.8,119.8,9/1/2009
US-CZ3,187.8,145.4,161.1,,169.7,199.7,172.7,6/1/2010
US-CZ3,153.8,133.2,150.3,,159.2,144.5,148.2,8/1/2011
US-CZ3,124.3,110.2,109.6,,116.5,107.4,110.9,9/1/2011
US-CZ3,192.3,145.2,124.6,,138.4,162.9,152.7,6/1/2012
US-Fmf,53,69.9,83.9,,65.6,80.2,70.5,9/1/2005
US-Fmf,59.4,70.3,57.8,,60.3,67.5,61.3,10/1/2005
US-Fmf,41.9,21.9,53.2,,30.4,37.7,37,1/1/2006
US-Fmf,40,24.6,49.7,,61.7,57.4,46.7,2/1/2006
US-Fmf,18.8,35.2,44.3,,70.6,64,46.6,3/1/2006
US-Fmf,76.4,70.9,62.6,,88.5,108.2,81.3,4/1/2006
US-Fmf,122,83.1,62,,100.5,115,96.5,7/1/2006
US-Fmf,59.5,50.1,41.3,,48.3,51.6,47.8,10/1/2006
US-Fmf,73.6,44.6,60,,60.5,72.4,62.2,3/1/2007
US-Fmf,54.2,54.6,56.3,,68.6,53.7,54.7,4/1/2007
